代码,名称,market
bj920407,驰诚股份,A
bj920414,欧普泰,A
bj920415,恒拓开源,A
bj920418,苏轴股份,A
bj920419,路斯股份,A
bj920422,润普食品,A
bj920425,乐创技术,A
bj920427,华维设计,A
bj920429,康比特,A
bj920433,大唐药业,A
bj920436,大地电气,A
bj920438,戈碧迦,A
bj920445,龙竹科技,A
bj920454,同心传动,A
bj920455,汇隆活塞,A
bj920469,富恒新材,A
bj920471,美邦科技,A
bj920475,三友科技,A
bj920476,海能技术,A
bj920478,峆一药业,A
bj920489,佳先股份,A
bj920491,奥迪威,A
bj920493,并行科技,A
bj920496,许昌智能,A
bj920504,博迅生物,A
bj920505,九菱科技,A
bj920508,殷图网联,A
bj920509,同惠电子,A
bj920510,丰光精密,A
bj920519,万德股份,A
bj920522,纳科诺尔,A
bj920523,德瑞锂电,A
bj920526,凯华材料,A
bj920527,夜光明,A
bj920533,XD骏创科,A
bj920541,铁大科技,A
bj920547,无锡晶海,A
bj920553,凯腾精工,A
bj920556,雅达股份,A
bj920564,天润科技,A
bj920566,梓橦宫,A
bj920570,坤博精工,A
bj920571,国航远洋,A
bj920575,*ST康乐,A
bj920576,天力复合,A
bj920578,巨能股份,A
bj920579,机科股份,A
bj920580,科创新材,A
bj920592,华信永道,A
bj920593,鼎智科技,A
bj920599,同力股份,A
bj920608,丰安股份,A
bj920627,力王股份,A
bj920634,新威凌,A
bj920639,晨光电缆,A
bj920640,富士达,A
bj920641,格利尔,A
bj920642,通易航天,A
bj920651,天罡股份,A
bj920656,海昇药业,A
bj920662,方盛股份,A
bj920663,明阳科技,A
bj920665,科强股份,A
bj920670,数字人,A
bj920675,秉扬科技,A
bj920679,前进科技,A
bj920682,球冠电缆,A
bj920685,新芝生物,A
bj920689,克莱特,A
bj920690,捷众科技,A
bj920693,阿为特,A
bj920694,中裕科技,A
bj920699,海达尔,A
bj920701,豪声电子,A
bj920703,广厦环能,A
bj920706,铁拓机械,A
bj920717,瑞星股份,A
bj920718,合肥高科,A
bj920719,宁新新材,A
bj920720,吉冈精密,A
bj920725,惠丰钻石,A
bj920726,朱老六,A
bj920729,永顺生物,A
bj920735,德源药业,A
bj920748,路桥信息,A
bj920751,惠同新材,A
bj920753,天纺标,A
bj920765,美之高,A
bj920768,拾比佰,A
bj920770,艾能聚,A
bj920779,武汉蓝电,A
bj920781,瑞奇智造,A
bj920786,骑士乳业,A
bj920790,联迪信息,A
bj920792,东和新材,A
bj920799,艾融软件,A
bj920802,保丽洁,A
bj920806,云星宇,A
bj920807,奔朗新材,A
bj920808,曙光数创,A
bj920809,安达科技,A
bj920810,春光智能,A
bj920819,颖泰生物,A
bj920821,则成电子,A
bj920826,盖世食品,A
bj920832,齐鲁华信,A
bj920833,美心翼申,A
bj920834,三维装备,A
bj920837,华原股份,A
bj920839,万通液压,A
bj920855,浙江大农,A
bj920856,浩淼科技,A
bj920857,泓禧科技,A
bj920866,绿亨科技,A
bj920870,恒进感应,A
bj920871,派特尔,A
bj920873,中设咨询,A
bj920876,慧为智能,A
bj920879,基康技术,A
bj920885,星辰科技,A
bj920892,广咨国际,A
bj920895,花溪科技,A
bj920896,旺成科技,A
bj920906,舜宇精工,A
bj920914,XD远航精,A
bj920924,广脉科技,A
bj920925,锦好医疗,A
bj920926,鸿智科技,A
bj920931,无锡鼎邦,A
bj920932,科达自控,A
bj920942,恒立钻具,A
bj920943,优机股份,A
bj920946,森萱医药,A
bj920950,迅安科技,A
bj920953,国子软件,A
bj920957,汉维科技,A
bj920961,创远信科,A
bj920964,润农节水,A
bj920970,大禹生物,A
bj920971,天马新材,A
bj920974,凯大催化,A
bj920976,视声智能,A
bj920978,开特股份,A
bj920981,晶赛科技,A
bj920982,锦波生物,A
bj920985,海泰新能,A
bj920992,中科美菱,A
sh600000,浦发银行,A
sh600004,白云机场,A
sh600006,东风股份,A
sh600007,中国国贸,A
sh600008,首创环保,A
sh600009,上海机场,A
sh600010,包钢股份,A
sh600011,华能国际,A
sh600012,皖通高速,A
sh600015,华夏银行,A
sh600016,民生银行,A
sh600017,日照港,A
sh600018,上港集团,A
sh600019,宝钢股份,A
sh600020,中原高速,A
sh600021,上海电力,A
sh600022,山东钢铁,A
sh600023,浙能电力,A
sh600025,华能水电,A
sh600026,中远海能,A
sh600027,华电国际,A
sh600028,中国石化,A
sh600029,南方航空,A
sh600030,中信证券,A
sh600031,三一重工,A
sh600032,浙江新能,A
sh600033,福建高速,A
sh600035,楚天高速,A
sh600036,招商银行,A
sh600037,歌华有线,A
sh600038,中直股份,A
sh600039,四川路桥,A
sh600048,保利发展,A
sh600050,中国联通,A
sh600051,宁波联合,A
sh600052,东望时代,A
sh600053,*ST九鼎,A
sh600054,黄山旅游,A
sh600055,万东医疗,A
sh600056,中国医药,A
sh600057,厦门象屿,A
sh600058,五矿发展,A
sh600059,古越龙山,A
sh600060,海信视像,A
sh600061,国投资本,A
sh600062,华润双鹤,A
sh600063,皖维高新,A
sh600064,南京高科,A
sh600066,宇通客车,A
sh600067,冠城新材,A
sh600071,凤凰光学,A
sh600072,中船科技,A
sh600073,光明肉业,A
sh600075,新疆天业,A
sh600076,康欣新材,A
sh600078,澄星股份,A
sh600079,ST人福,A
sh600080,ST金花,A
sh600081,东风科技,A
sh600082,ST海泰,A
sh600084,*ST尼雅,A
sh600085,同仁堂,A
sh600088,中视传媒,A
sh600089,特变电工,A
sh600094,大名城,A
sh600095,湘财股份,A
sh600096,云天化,A
sh600097,开创国际,A
sh600098,广州发展,A
sh600099,林海股份,A
sh600100,同方股份,A
sh600101,明星电力,A
sh600103,青山纸业,A
sh600104,上汽集团,A
sh600105,永鼎股份,A
sh600106,重庆路桥,A
sh600107,*ST尔雅,A
sh600108,亚盛集团,A
sh600109,国金证券,A
sh600110,诺德股份,A
sh600111,北方稀土,A
sh600113,浙江东日,A
sh600114,东睦股份,A
sh600115,中国东航,A
sh600116,三峡水利,A
sh600117,西宁特钢,A
sh600118,中国卫星,A
sh600119,*ST长投,A
sh600120,浙江东方,A
sh600121,郑州煤电,A
sh600123,兰花科创,A
sh600125,铁龙物流,A
sh600126,杭钢股份,A
sh600127,金健米业,A
sh600128,苏豪弘业,A
sh600129,太极集团,A
sh600130,波导股份,A
sh600131,国网信通,A
sh600132,重庆啤酒,A
sh600133,东湖高新,A
sh600135,乐凯胶片,A
sh600136,ST明诚,A
sh600137,浪莎股份,A
sh600138,中青旅,A
sh600141,兴发集团,A
sh600143,金发科技,A
sh600148,长春一东,A
sh600149,廊坊发展,A
sh600150,中国船舶,A
sh600151,航天机电,A
sh600152,维科技术,A
sh600153,建发股份,A
sh600155,华创云信,A
sh600156,华升股份,A
sh600157,永泰能源,A
sh600158,中体产业,A
sh600159,大龙地产,A
sh600160,巨化股份,A
sh600161,天坛生物,A
sh600162,香江控股,A
sh600163,中闽能源,A
sh600165,ST宁科,A
sh600166,福田汽车,A
sh600167,联美控股,A
sh600168,武汉控股,A
sh600169,ST太重,A
sh600170,上海建工,A
sh600171,上海贝岭,A
sh600172,黄河旋风,A
sh600173,卧龙新能,A
sh600176,中国巨石,A
sh600177,雅戈尔,A
sh600178,东安动力,A
sh600179,安通控股,A
sh600180,*ST瑞茂,A
sh600182,S佳通,A
sh600183,生益科技,A
sh600184,光电股份,A
sh600185,珠免集团,A
sh600186,莲花控股,A
sh600187,*ST国中,A
sh600188,兖矿能源,A
sh600189,泉阳泉,A
sh600191,华资实业,A
sh600192,长城电工,A
sh600193,退市创兴,A
sh600195,中牧股份,A
sh600196,复星医药,A
sh600197,伊力特,A
sh600198,大唐电信,A
sh600199,金种子酒,A
sh600201,生物股份,A
sh600202,哈空调,A
sh600203,福日电子,A
sh600206,有研新材,A
sh600207,安彩高科,A
sh600208,衢州发展,A
sh600210,紫江企业,A
sh600211,西藏药业,A
sh600212,绿能慧充,A
sh600215,派斯林,A
sh600216,浙江医药,A
sh600217,中再资环,A
sh600218,全柴动力,A
sh600219,南山铝业,A
sh600221,海航控股,A
sh600222,太龙药业,A
sh600223,福瑞达,A
sh600226,亨通股份,A
sh600227,赤天化,A
sh600228,返利科技,A
sh600229,城市传媒,A
sh600230,沧州大化,A
sh600231,凌钢股份,A
sh600232,金鹰股份,A
sh600233,圆通速递,A
sh600234,科新发展,A
sh600235,民丰特纸,A
sh600236,桂冠电力,A
sh600237,铜峰电子,A
sh600238,*ST椰岛,A
sh600239,ST云城,A
sh600241,时代万恒,A
sh600243,*ST海华,A
sh600246,万通发展,A
sh600248,陕建股份,A
sh600249,两面针,A
sh600250,南京商旅,A
sh600251,冠农股份,A
sh600252,中恒集团,A
sh600255,鑫科材料,A
sh600256,广汇能源,A
sh600257,大湖股份,A
sh600258,首旅酒店,A
sh600259,中稀有色,A
sh600261,阳光照明,A
sh600262,北方股份,A
sh600265,*ST景谷,A
sh600266,城建发展,A
sh600267,海正药业,A
sh600268,国电南自,A
sh600269,赣粤高速,A
sh600271,航天信息,A
sh600272,开开实业,A
sh600273,嘉化能源,A
sh600276,恒瑞医药,A
sh600278,东方创业,A
sh600279,重庆港,A
sh600280,中央商场,A
sh600281,华阳新材,A
sh600282,南钢股份,A
sh600283,钱江水利,A
sh600284,浦东建设,A
sh600285,羚锐制药,A
sh600287,苏豪时尚,A
sh600288,大恒科技,A
sh600289,ST信通,A
sh600292,电投水电,A
sh600293,三峡新材,A
sh600295,鄂尔多斯,A
sh600298,安琪酵母,A
sh600299,安迪苏,A
sh600300,维维股份,A
sh600301,华锡有色,A
sh600302,ST标准,A
sh600303,曙光股份,A
sh600305,恒顺醋业,A
sh600307,酒钢宏兴,A
sh600308,华泰股份,A
sh600309,万华化学,A
sh600310,广西能源,A
sh600312,平高电气,A
sh600313,农发种业,A
sh600315,上海家化,A
sh600316,洪都航空,A
sh600318,XD新力金,A
sh600319,亚星化学,A
sh600320,振华重工,A
sh600322,津投城开,A
sh600323,瀚蓝环境,A
sh600325,华发股份,A
sh600326,西藏天路,A
sh600327,大东方,A
sh600328,中盐化工,A
sh600329,达仁堂,A
sh600330,天通股份,A
sh600331,宏达股份,A
sh600332,白云山,A
sh600333,长春燃气,A
sh600335,国机汽车,A
sh600336,澳柯玛,A
sh600337,ST美克,A
sh600338,西藏珠峰,A
sh600339,中油工程,A
sh600340,*ST华幸,A
sh600343,航天动力,A
sh600345,长江通信,A
sh600346,恒力石化,A
sh600348,华阳股份,A
sh600350,山东高速,A
sh600351,XD亚宝药,A
sh600352,浙江龙盛,A
sh600353,旭光电子,A
sh600354,敦煌种业,A
sh600356,恒丰纸业,A
sh600358,国旅联合,A
sh600359,新农开发,A
sh600360,华微电子,A
sh600361,创新新材,A
sh600362,江西铜业,A
sh600363,联创光电,A
sh600365,ST通葡,A
sh600366,宁波韵升,A
sh600367,红星发展,A
sh600368,五洲交通,A
sh600369,西南证券,A
sh600370,*ST三房,A
sh600371,万向德农,A
sh600372,中航机载,A
sh600373,中文传媒,A
sh600375,汉马科技,A
sh600376,首开股份,A
sh600377,宁沪高速,A
sh600378,昊华科技,A
sh600379,宝光股份,A
sh600380,健康元,A
sh600381,*ST春天,A
sh600382,广东明珠,A
sh600383,金地集团,A
sh600386,北巴传媒,A
sh600388,龙净环保,A
sh600389,江山股份,A
sh600390,五矿资本,A
sh600391,航发科技,A
sh600392,盛和资源,A
sh600395,盘江股份,A
sh600396,华电辽能,A
sh600397,江钨装备,A
sh600398,海澜之家,A
sh600399,抚顺特钢,A
sh600400,红豆股份,A
sh600403,大有能源,A
sh600405,动力源,A
sh600406,国电南瑞,A
sh600408,安泰集团,A
sh600409,三友化工,A
sh600410,华胜天成,A
sh600415,小商品城,A
sh600416,湘电股份,A
sh600418,江淮汽车,A
sh600419,天润乳业,A
sh600420,国药现代,A
sh600421,退市华嵘,A
sh600422,昆药集团,A
sh600423,*ST柳化,A
sh600425,青松建化,A
sh600426,华鲁恒升,A
sh600428,中远海特,A
sh600429,三元股份,A
sh600433,冠豪高新,A
sh600435,北方导航,A
sh600436,片仔癀,A
sh600438,通威股份,A
sh600439,瑞贝卡,A
sh600444,国机通用,A
sh600446,金证股份,A
sh600448,华纺股份,A
sh600449,宁夏建材,A
sh600452,涪陵电力,A
sh600455,博通股份,A
sh600456,宝钛股份,A
sh600458,时代新材,A
sh600459,贵研铂业,A
sh600460,士兰微,A
sh600461,洪城环境,A
sh600463,空港股份,A
sh600467,好当家,A
sh600468,百利电气,A
sh600469,风神股份,A
sh600470,六国化工,A
sh600475,华光环能,A
sh600476,*ST湘邮,A
sh600477,杭萧钢构,A
sh600478,科力远,A
sh600479,千金药业,A
sh600480,凌云股份,A
sh600481,双良节能,A
sh600482,中国动力,A
sh600483,福能股份,A
sh600486,扬农化工,A
sh600487,亨通光电,A
sh600488,津药药业,A
sh600489,中金黄金,A
sh600490,鹏欣资源,A
sh600491,ST龙元,A
sh600493,凤竹纺织,A
sh600495,晋西车轴,A
sh600496,XD精工钢,A
sh600497,驰宏锌锗,A
sh600498,烽火通信,A
sh600499,科达制造,A
sh600500,中化国际,A
sh600501,航天晨光,A
sh600502,安徽建工,A
sh600503,华丽家族,A
sh600505,西昌电力,A
sh600506,统一股份,A
sh600507,方大特钢,A
sh600508,上海能源,A
sh600509,天富能源,A
sh600510,黑牡丹,A
sh600511,国药股份,A
sh600512,腾达建设,A
sh600513,联环药业,A
sh600515,海南机场,A
sh600516,方大炭素,A
sh600517,国网英大,A
sh600518,康美药业,A
sh600519,贵州茅台,A
sh600520,三佳科技,A
sh600521,华海药业,A
sh600522,中天科技,A
sh600523,贵航股份,A
sh600525,ST长园,A
sh600526,菲达环保,A
sh600527,江南高纤,A
sh600528,中铁工业,A
sh600529,山东药玻,A
sh600530,交大昂立,A
sh600531,豫光金铅,A
sh600533,栖霞建设,A
sh600535,天士力,A
sh600536,中国软件,A
sh600537,*ST亿晶,A
sh600538,国发股份,A
sh600539,狮头股份,A
sh600540,新赛股份,A
sh600543,*ST莫高,A
sh600545,卓郎智能,A
sh600546,山煤国际,A
sh600547,山东黄金,A
sh600548,深高速,A
sh600549,厦门钨业,A
sh600550,保变电气,A
sh600551,时代出版,A
sh600552,XD凯盛科,A
sh600556,天下秀,A
sh600557,康缘药业,A
sh600558,大西洋,A
sh600559,老白干酒,A
sh600560,金自天正,A
sh600561,江西长运,A
sh600562,国睿科技,A
sh600563,法拉电子,A
sh600566,济川药业,A
sh600567,山鹰国际,A
sh600568,ST中珠,A
sh600569,安阳钢铁,A
sh600570,恒生电子,A
sh600571,信雅达,A
sh600572,康恩贝,A
sh600573,惠泉啤酒,A
sh600575,淮河能源,A
sh600576,祥源文旅,A
sh600577,精达股份,A
sh600578,京能电力,A
sh600579,中化装备,A
sh600580,卧龙电驱,A
sh600581,*ST八钢,A
sh600582,天地科技,A
sh600583,海油工程,A
sh600584,长电科技,A
sh600585,海螺水泥,A
sh600586,金晶科技,A
sh600587,新华医疗,A
sh600588,用友网络,A
sh600589,大位科技,A
sh600590,泰豪科技,A
sh600592,龙溪股份,A
sh600593,大连圣亚,A
sh600594,益佰制药,A
sh600595,中孚实业,A
sh600596,新安股份,A
sh600597,光明乳业,A
sh600598,北大荒,A
sh600599,退市熊猫,A
sh600600,青岛啤酒,A
sh600601,方正科技,A
sh600602,云赛智联,A
sh600603,广汇物流,A
sh600604,市北高新,A
sh600605,汇通能源,A
sh600606,绿地控股,A
sh600608,退市沪科,A
sh600609,金杯汽车,A
sh600610,中毅达,A
sh600611,大众交通,A
sh600612,老凤祥,A
sh600613,神奇制药,A
sh600615,鑫源智造,A
sh600616,金枫酒业,A
sh600617,国新能源,A
sh600618,氯碱化工,A
sh600619,海立股份,A
sh600620,天宸股份,A
sh600621,华鑫股份,A
sh600622,光大嘉宝,A
sh600623,华谊集团,A
sh600624,ST复华,A
sh600626,申达股份,A
sh600628,新世界,A
sh600629,华建集团,A
sh600630,龙头股份,A
sh600633,浙数文化,A
sh600635,大众公用,A
sh600636,退市国化,A
sh600637,东方明珠,A
sh600638,新黄浦,A
sh600639,浦东金桥,A
sh600640,国脉文化,A
sh600641,先导基电,A
sh600642,申能股份,A
sh600643,爱建集团,A
sh600644,乐山电力,A
sh600645,中源协和,A
sh600648,外高桥,A
sh600649,城投控股,A
sh600650,锦江在线,A
sh600651,飞乐音响,A
sh600653,申华控股,A
sh600654,中安科,A
sh600655,豫园股份,A
sh600657,信达地产,A
sh600658,电子城,A
sh600660,福耀玻璃,A
sh600661,昂立教育,A
sh600662,外服控股,A
sh600663,陆家嘴,A
sh600664,哈药股份,A
sh600665,天地源,A
sh600666,奥瑞德,A
sh600667,太极实业,A
sh600668,尖峰集团,A
sh600671,天目药业,A
sh600673,东阳光,A
sh600674,川投能源,A
sh600675,中华企业,A
sh600676,交运股份,A
sh600678,ST金顶,A
sh600679,上海凤凰,A
sh600681,百川能源,A
sh600682,南京新百,A
sh600683,京投发展,A
sh600684,珠江股份,A
sh600685,中船防务,A
sh600686,金龙汽车,A
sh600688,上海石化,A
sh600689,上海三毛,A
sh600690,海尔智家,A
sh600691,潞化科技,A
sh600692,亚通股份,A
sh600693,东百集团,A
sh600694,大商股份,A
sh600696,退市岩石,A
sh600697,欧亚集团,A
sh600698,湖南天雁,A
sh600699,均胜电子,A
sh600702,舍得酒业,A
sh600703,三安光电,A
sh600704,物产中大,A
sh600706,曲江文旅,A
sh600707,彩虹股份,A
sh600708,光明地产,A
sh600710,苏美达,A
sh600711,盛屯矿业,A
sh600712,南宁百货,A
sh600713,南京医药,A
sh600714,金瑞矿业,A
sh600715,文投控股,A
sh600716,凤凰股份,A
sh600717,天津港,A
sh600718,东软集团,A
sh600719,大连热电,A
sh600720,中交设计,A
sh600721,百花医药,A
sh600722,金牛化工,A
sh600724,宁波富达,A
sh600725,云维股份,A
sh600726,华电能源,A
sh600727,鲁北化工,A
sh600728,佳都科技,A
sh600729,重百集团,A
sh600730,*ST高科,A
sh600731,湖南海利,A
sh600732,爱旭股份,A
sh600733,北汽蓝谷,A
sh600734,*ST实达,A
sh600735,ST新华锦,A
sh600736,苏州高新,A
sh600737,中粮糖业,A
sh600738,丽尚国潮,A
sh600739,辽宁成大,A
sh600740,山西焦化,A
sh600741,华域汽车,A
sh600742,富维股份,A
sh600743,华远控股,A
sh600744,华银电力,A
sh600745,*ST闻泰,A
sh600746,江苏索普,A
sh600748,上实发展,A
sh600749,西藏旅游,A
sh600750,华润江中,A
sh600751,海航科技,A
sh600753,*ST海钦,A
sh600754,锦江酒店,A
sh600755,厦门国贸,A
sh600756,浪潮软件,A
sh600757,长江传媒,A
sh600758,辽宁能源,A
sh600759,ST洲际,A
sh600760,中航沈飞,A
sh600761,安徽合力,A
sh600763,通策医疗,A
sh600764,中国海防,A
sh600765,中航重机,A
sh600768,宁波富邦,A
sh600769,祥龙电业,A
sh600770,综艺股份,A
sh600771,广誉远,A
sh600773,西藏城投,A
sh600774,汉商集团,A
sh600775,南京熊猫,A
sh600776,东方通信,A
sh600777,*ST新潮,A
sh600778,友好集团,A
sh600779,水井坊,A
sh600780,通宝能源,A
sh600782,新钢股份,A
sh600783,鲁信创投,A
sh600784,鲁银投资,A
sh600785,新华百货,A
sh600787,中储股份,A
sh600789,鲁抗医药,A
sh600790,轻纺城,A
sh600791,京能置业,A
sh600792,云煤能源,A
sh600793,宜宾纸业,A
sh600794,保税科技,A
sh600795,国电电力,A
sh600796,钱江生化,A
sh600797,浙大网新,A
sh600798,宁波海运,A
sh600800,渤海化学,A
sh600801,华新建材,A
sh600802,福建水泥,A
sh600803,新奥股份,A
sh600805,悦达投资,A
sh600807,济高发展,A
sh600808,马钢股份,A
sh600809,山西汾酒,A
sh600810,神马股份,A
sh600812,华北制药,A
sh600814,杭州解百,A
sh600815,厦工股份,A
sh600816,建元信托,A
sh600817,XD宇通重,A
sh600818,ST中路,A
sh600819,耀皮玻璃,A
sh600820,隧道股份,A
sh600821,金开新能,A
sh600822,上海物贸,A
sh600824,益民集团,A
sh600825,新华传媒,A
sh600826,兰生股份,A
sh600827,百联股份,A
sh600828,茂业商业,A
sh600829,人民同泰,A
sh600830,香溢融通,A
sh600831,广电网络,A
sh600833,第一医药,A
sh600834,申通地铁,A
sh600835,上海机电,A
sh600838,上海九百,A
sh600839,四川长虹,A
sh600841,动力新科,A
sh600843,上工申贝,A
sh600844,金煤科技,A
sh600845,宝信软件,A
sh600846,同济科技,A
sh600847,万里股份,A
sh600848,上海临港,A
sh600850,电科数字,A
sh600851,海欣股份,A
sh600853,龙建股份,A
sh600854,春兰股份,A
sh600855,航天长峰,A
sh600857,宁波中百,A
sh600858,银座股份,A
sh600859,王府井,A
sh600860,京城股份,A
sh600861,北京人力,A
sh600862,中航高科,A
sh600863,华能蒙电,A
sh600864,哈投股份,A
sh600865,百大集团,A
sh600866,星湖科技,A
sh600867,通化东宝,A
sh600868,梅雁吉祥,A
sh600869,远东股份,A
sh600871,石化油服,A
sh600872,中炬高新,A
sh600873,梅花生物,A
sh600874,创业环保,A
sh600875,东方电气,A
sh600876,凯盛新能,A
sh600877,电科芯片,A
sh600879,航天电子,A
sh600880,博瑞传播,A
sh600881,亚泰集团,A
sh600882,妙可蓝多,A
sh600883,博闻科技,A
sh600884,杉杉股份,A
sh600885,宏发股份,A
sh600886,国投电力,A
sh600887,伊利股份,A
sh600888,新疆众和,A
sh600889,*ST京化,A
sh600892,*ST大晟,A
sh600893,航发动力,A
sh600894,广日股份,A
sh600895,张江高科,A
sh600897,厦门空港,A
sh600900,长江电力,A
sh600901,XD江苏金,A
sh600903,XD贵州燃,A
sh600905,三峡能源,A
sh600906,财达证券,A
sh600908,无锡银行,A
sh600909,华安证券,A
sh600916,中国黄金,A
sh600917,重庆燃气,A
sh600918,中泰证券,A
sh600919,江苏银行,A
sh600925,苏能股份,A
sh600926,XD杭州银,A
sh600927,永安期货,A
sh600928,西安银行,A
sh600929,雪天盐业,A
sh600930,华电新能,A
sh600933,爱柯迪,A
sh600935,华塑股份,A
sh600936,北投科技,A
sh600938,中国海油,A
sh600939,重庆建工,A
sh600941,中国移动,A
sh600955,维远股份,A
sh600956,新天绿能,A
sh600958,东方证券,A
sh600959,江苏有线,A
sh600960,渤海汽车,A
sh600961,株冶集团,A
sh600962,国投中鲁,A
sh600963,岳阳林纸,A
sh600965,*ST福成,A
sh600966,博汇纸业,A
sh600967,内蒙一机,A
sh600968,海油发展,A
sh600969,郴电国际,A
sh600970,中材国际,A
sh600971,恒源煤电,A
sh600973,宝胜股份,A
sh600975,新五丰,A
sh600976,健民集团,A
sh600977,中国电影,A
sh600979,广安爱众,A
sh600980,北矿科技,A
sh600981,苏豪汇鸿,A
sh600982,宁波能源,A
sh600983,惠而浦,A
sh600984,建设机械,A
sh600985,淮北矿业,A
sh600986,浙文互联,A
sh600987,航民股份,A
sh600988,赤峰黄金,A
sh600989,宝丰能源,A
sh600990,四创电子,A
sh600992,贵绳股份,A
sh600993,马应龙,A
sh600995,南网储能,A
sh600996,贵广网络,A
sh600997,开滦股份,A
sh600998,九州通,A
sh600999,招商证券,A
sh601000,唐山港,A
sh601001,晋控煤业,A
sh601002,晋亿实业,A
sh601003,柳钢股份,A
sh601005,重庆钢铁,A
sh601006,大秦铁路,A
sh601007,金陵饭店,A
sh601008,连云港,A
sh601009,XD南京银,A
